user_id,username,email,phone,registered_at,registration_source,status,user_level,is_vip,last_active_at,created_at,updated_at
1,changlei,jungao@example.net,13781960013,2026-01-07 14:11:10.53532,huawei_store,active,4,f,2026-01-18 03:06:01.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
2,xiejuan,cjiang@example.net,15102654235,2025-12-07 04:33:22.53532,ad_campaign,active,3,f,2026-01-09 06:08:02.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
3,wduan,xiuying40@example.net,18781618495,2025-11-19 03:08:50.53532,organic,active,2,f,2025-12-22 07:58:51.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
4,chengyong,lidong@example.org,18016475255,2025-11-26 00:18:00.53532,referral,active,2,f,2025-11-26 00:18:00.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
5,yaoyang,xiakong@example.org,18764835030,2025-12-04 09:42:44.53532,huawei_store,active,5,f,2026-01-18 08:10:22.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
6,na41,xiulanlu@example.org,15576724238,2025-12-25 17:47:17.53532,web,active,3,f,2026-01-03 02:26:29.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
7,opan,weiwan@example.org,14501226916,2025-11-09 10:29:53.53532,google_play,active,2,f,2026-01-08 05:17:02.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
8,qwu,zhongguiying@example.net,18184514627,2025-12-12 02:43:28.53532,wechat_mini,active,3,f,2025-12-29 12:22:51.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
9,wei28,yinli@example.net,13093252880,2026-01-15 00:15:56.53532,wechat_mini,inactive,1,f,2026-01-24 14:01:00.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
10,hcao,li30@example.org,18191171822,2025-10-27 16:11:51.53532,web,active,1,f,2025-12-31 22:06:42.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
11,kxiao,wei96@example.org,18983465787,2025-12-16 08:46:16.53532,huawei_store,active,1,f,2026-01-23 05:55:30.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
12,gangmao,yanxia@example.org,13230103105,2025-11-18 16:32:11.53532,huawei_store,inactive,2,f,2025-12-20 12:55:40.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
13,weijun,yong73@example.net,13899737631,2026-01-22 21:09:43.53532,app_store,active,1,f,2026-01-24 20:44:52.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
14,rcui,daina@example.net,15713338726,2026-01-08 16:01:56.53532,google_play,active,3,f,2026-01-23 01:42:50.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
15,ekong,gxiao@example.org,15580132677,2025-12-27 12:25:39.53532,google_play,active,1,f,2026-01-13 02:13:27.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
16,ybai,qiang46@example.net,18687234309,2026-01-03 16:47:14.53532,app_store,active,3,f,2026-01-20 17:46:34.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
17,lufang,xuetao@example.net,18982081219,2025-12-26 08:19:11.53532,referral,active,2,t,2026-01-23 09:05:19.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
18,nafeng,xiulanyang@example.org,14516998543,2026-01-21 16:35:20.53532,ad_campaign,inactive,1,t,2026-01-22 17:14:53.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
19,jun46,yongyuan@example.com,18751079911,2025-11-25 22:45:25.53532,google_play,active,1,f,2026-01-17 18:30:20.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
20,weilei,mingdeng@example.org,15842784980,2025-10-31 20:19:55.53532,app_store,active,3,f,2026-01-12 07:56:04.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
21,yong12,guiying18@example.org,15149353487,2025-11-04 23:28:06.53532,organic,active,2,f,2025-12-21 05:05:52.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
22,duyang,cliang@example.org,15724278680,2025-11-11 01:42:35.53532,organic,active,1,f,2025-12-18 02:10:48.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
23,xiachen,xiulan82@example.com,13804505331,2025-11-11 11:48:21.53532,huawei_store,active,2,f,2025-11-26 20:39:14.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
24,xia69,junguo@example.org,18160256342,2025-11-02 07:44:20.53532,ad_campaign,active,1,f,2025-11-11 02:05:30.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
25,tangjun,qiangmeng@example.com,15333036541,2025-12-02 05:01:52.53532,organic,active,1,f,2025-12-15 17:27:05.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
26,ming86,chao14@example.org,13240196556,2025-12-12 13:35:43.53532,app_store,active,2,f,2026-01-14 18:00:03.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
27,qiaoxiulan,leicheng@example.net,18208835615,2026-01-14 06:13:15.53532,web,inactive,4,f,2026-01-14 06:13:15.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
28,liuwei,yong65@example.com,18548236629,2026-01-04 16:31:43.53532,wechat_mini,active,3,t,2026-01-08 23:09:25.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
29,axiao,li36@example.net,14557773872,2025-11-23 08:57:37.53532,google_play,active,1,f,2025-12-23 00:23:06.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
30,wei95,kangyong@example.com,15032003791,2025-12-28 16:50:29.53532,referral,active,5,f,2026-01-23 12:12:03.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
31,yanzhu,zwan@example.org,13801632870,2025-11-20 06:10:59.53532,huawei_store,active,4,f,2025-11-20 06:10:59.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
32,sunjie,hzhao@example.net,14557986872,2025-12-11 08:03:21.53532,referral,inactive,2,t,2025-12-11 08:03:21.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
33,qsu,yangliang@example.net,18834714345,2026-01-19 14:42:27.53532,huawei_store,deleted,1,f,2026-01-21 22:00:48.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
34,gaojie,nazhou@example.org,18531665876,2025-11-27 10:53:17.53532,ad_campaign,active,4,f,2026-01-04 04:51:08.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
35,sxue,xuna@example.com,13454668893,2025-11-26 15:58:47.53532,wechat_mini,active,3,t,2025-12-19 00:38:07.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
36,ychang,yong62@example.com,18929806990,2025-11-02 13:08:31.53532,wechat_mini,active,1,f,2025-11-23 03:28:12.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
37,dgao,fanglei@example.com,15737556464,2025-11-22 11:45:32.53532,referral,active,1,f,2026-01-07 14:04:48.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
38,mengjun,zengfang@example.org,15030923271,2025-12-11 07:51:41.53532,wechat_mini,active,2,f,2026-01-24 17:14:18.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
39,qiangzhu,ming29@example.net,18612419049,2025-11-24 13:37:07.53532,web,suspended,2,f,2026-01-18 16:08:13.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
40,tqin,gangyan@example.net,15331491905,2026-01-18 22:43:32.53532,huawei_store,active,2,f,2026-01-21 23:43:03.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
41,gang85,shaotao@example.org,18257262849,2025-11-13 23:02:02.53532,huawei_store,active,2,f,2025-11-13 23:02:02.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
42,btan,min31@example.com,18173799650,2025-12-27 05:23:31.53532,web,active,2,f,2025-12-27 05:23:31.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
43,jing73,lei54@example.net,18548083136,2026-01-18 16:47:09.53532,app_store,active,1,f,2026-01-21 16:17:20.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
44,tyuan,ysu@example.org,13643634957,2025-11-19 01:42:31.53532,organic,active,2,f,2025-12-21 07:05:53.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
45,ping85,yan74@example.com,15131351823,2025-12-02 14:14:54.53532,huawei_store,active,2,f,2026-01-23 07:05:28.53532,2026-01-25 02:16:11.333435,2026-01-25 02:16:11.333435
